SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,class,water_class,lon,lat
0.01859749999999999,0.018762499999999988,0.036500000000000005,0.021952499999999986,0.3775,0.16547499999999998,0.06413750000000001,11,-1,-81.22735489510234,40.58997176868855
0.025774999999999992,0.029267500000000002,0.06047999999999998,0.0386175,0.3672975,0.21656999999999998,0.09843000000000002,11,-1,-81.19586347347443,40.56234357061827
0.024784999999999988,0.02758999999999999,0.055901249999999986,0.0387825,0.4359375,0.22026875,0.09693125,11,-1,-81.28882337502833,40.615962182168744
0.03512499999999999,0.038589999999999985,0.07645750000000001,0.05888500000000002,0.40406500000000006,0.254905,0.12582,11,-1,-81.22768805165157,40.56124499316884
0.021471249999999997,0.020769999999999997,0.036898749999999994,0.02136125,0.35343749999999996,0.166795,0.06445375,11,-1,-81.20787375683557,40.6276903739315
0.01968375,0.01954625,0.03364,0.020371249999999994,0.28079625,0.14214125,0.058568749999999975,11,-1,-81.31914509978317,40.50485700782083
0.027425000000000005,0.031962500000000005,0.07073750000000001,0.04565749999999999,0.42114250000000003,0.23213499999999998,0.10607499999999997,11,-1,-81.18810308821067,40.56790225022276
0.015132499999999993,0.018817499999999987,0.0443925,0.02621499999999999,0.3404025,0.15975499999999998,0.06597999999999998,11,-1,-81.27251341384192,40.54043672852017
0.02881375,0.03395624999999999,0.06558125000000001,0.04392499999999999,0.38672625000000005,0.23070500000000002,0.10328375000000001,11,-1,-81.2290455487984,40.5764784239187
0.02739749999999999,0.0323475,0.058335000000000026,0.051817500000000016,0.28213,0.21855000000000002,0.11757000000000001,11,-1,-81.194939312531,40.56318461131799
0.015875,0.018872499999999987,0.038892499999999997,0.021787499999999987,0.31546,0.12793749999999998,0.05140499999999998,11,-1,-81.28665724173142,40.5298511578081
0.025953749999999998,0.03472625,0.07003625,0.05690500000000001,0.37171125000000005,0.23956,0.12769000000000003,11,-1,-81.1903082921619,40.55371819742362
0.019436249999999988,0.01991749999999999,0.03982749999999999,0.02279125,0.34822624999999996,0.1395975,0.05403125,11,-1,-81.27639693866111,40.506268131988634
0.027892499999999987,0.0326225,0.062212500000000004,0.05137750000000002,0.351045,0.23837750000000002,0.11559000000000003,11,-1,-81.13404829910009,40.54728199626366
0.022832500000000006,0.02588499999999999,0.0503325,0.03636249999999999,0.33622250000000004,0.200235,0.09639500000000001,11,-1,-81.34167659273767,40.51927405749565
0.029514999999999986,0.033310000000000006,0.0649075,0.05159750000000002,0.39160750000000005,0.2352975,0.10777999999999999,11,-1,-81.16472213450922,40.51758429059948
0.018212499999999993,0.018872499999999987,0.03938749999999999,0.022419999999999995,0.37664749999999997,0.17259750000000001,0.0662275,11,-1,-81.20691559267412,40.51352174474679
0.029459999999999986,0.02990000000000001,0.05137750000000002,0.04596,0.41333250000000005,0.23526999999999998,0.11616749999999998,11,-1,-81.31419599894805,40.53925443810823
0.030120000000000008,0.03215499999999999,0.06674999999999998,0.04716999999999999,0.39160750000000005,0.2308425,0.11561749999999998,11,-1,-81.23168777819937,40.591289989970036
0.03153625,0.035455,0.06772624999999999,0.05288999999999999,0.40230499999999997,0.25012,0.12195624999999999,11,-1,-81.2871813425602,40.619058571775604
