SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,class,water_class,lon,lat
0.02870375,0.0387,0.07086124999999999,0.08370375,0.30303,0.25122,0.1592325,11,-1,-107.51977021385581,37.8240263903941
0.013826249999999998,0.015696249999999995,0.02518374999999999,0.019312499999999996,0.09444249999999998,0.06516875,0.040624999999999994,11,-1,-107.6810262963008,37.799444934552085
0.026792499999999997,0.03293875,0.056574999999999986,0.05122625,0.25725624999999996,0.15322375000000002,0.08698999999999998,11,-1,-107.56452604686949,37.847852861328676
0.022364999999999996,0.028222499999999984,0.057042499999999996,0.05198249999999999,0.30173750000000005,0.17906,0.09116999999999997,11,-1,-107.53424128722182,37.80925744634085
0.044117500000000004,0.05451250000000002,0.08902500000000002,0.10519499999999998,0.2838075,0.292305,0.2041675,13,-1,-107.60969951894687,37.92920564605795
0.014156249999999995,0.01747,0.029226249999999995,0.024523749999999997,0.10821999999999998,0.07124625000000001,0.04182124999999999,11,-1,-107.62477211624294,37.71380452626757
0.039525000000000005,0.04835249999999999,0.08292,0.09933750000000002,0.21742250000000002,0.260735,0.187145,13,-1,-107.68186606632206,37.8218321511549
0.03599124999999999,0.0457125,0.07986750000000001,0.08569750000000001,0.28533375,0.25808125000000004,0.1673175,11,-1,-107.68853837994423,37.79104499950242
0.04213750000000001,0.05063500000000001,0.08502375000000001,0.09540499999999999,0.26794,0.26132625,0.18368,13,-1,-107.72428596313918,37.89273559342335
0.012355000000000005,0.014582499999999998,0.025005,0.02016499999999999,0.09262749999999997,0.05327500000000002,0.033805,11,-1,-107.68138749054955,37.80231171489556
0.028524999999999995,0.045465000000000005,0.07593499999999997,0.08671499999999999,0.23692000000000002,0.2068625,0.1349225,13,-1,-107.70866446799533,37.77087399992603
0.02745249999999999,0.03200375,0.04926,0.05081374999999999,0.15832500000000002,0.15784375,0.10901749999999999,11,-1,-107.66323302067278,37.80134855355812
0.034657499999999994,0.04338874999999999,0.07621,0.08499625,0.26585000000000003,0.29812125,0.18977125,11,-1,-107.73160824867213,37.738794536100976
0.1049475,0.13097625,0.19697625000000002,0.24627000000000002,0.283615,0.30740249999999997,0.22880750000000002,0,-1,-107.50139852310657,37.787876880763974
0.008477499999999999,0.01483000000000001,0.031247499999999984,0.034822500000000006,0.055062500000000014,0.06776749999999998,0.06102999999999997,0,-1,-107.53407979416545,37.8918759810095
0.05528250000000001,0.06683250000000002,0.09348000000000001,0.09955750000000002,0.2291375,0.243355,0.1756775,13,-1,-107.58258292373877,37.81142843814459
0.035619999999999985,0.0416975,0.06666749999999999,0.06122250000000001,0.2723125,0.20788,0.13484000000000002,11,-1,-107.58108317541694,37.773307048381376
0.028057499999999985,0.040679999999999994,0.06974750000000002,0.0777775,0.2647775,0.22204250000000003,0.1375075,11,-1,-107.7534097021287,37.7755338129964
0.04846249999999999,0.05932500000000002,0.08916249999999998,0.09735749999999999,0.1725425,0.205625,0.16926999999999998,13,-1,-107.63418816665556,37.878966972695714
0.04110625,0.04696375,0.07204374999999999,0.0750825,0.24815375,0.22893125,0.1521375,11,-1,-107.57787043645901,37.86272764519406
0.02305249999999999,0.02437249999999999,0.036706249999999996,0.03322750000000001,0.13935,0.11420125,0.07253875000000001,11,-1,-107.61116146896522,37.723996768726806
0.0173325,0.01942250000000001,0.038754999999999984,0.031439999999999996,0.18684250000000002,0.11432500000000001,0.06402750000000001,11,-1,-107.65614322967411,37.8964258430559
0.06558124999999998,0.08549124999999999,0.12352375000000002,0.14486375,0.26494249999999997,0.30048625,0.23297375,13,-1,-107.5036149290386,37.77841062081209
0.017634999999999984,0.01879,0.0381775,0.02792,0.192425,0.10588249999999999,0.05602499999999999,11,-1,-107.70690870403538,37.90424544466834
0.03137124999999999,0.038163749999999996,0.07196125,0.08011499999999999,0.32113875,0.2362325,0.13782375,11,-1,-107.80852228089306,37.803497077419856
0.011351249999999993,0.013496250000000001,0.02270875,0.017318749999999994,0.08007375,0.06547124999999998,0.038796250000000004,11,-1,-107.61582739410512,37.82562958680822
0.038012500000000005,0.04868249999999999,0.07854749999999999,0.09372750000000002,0.2647225,0.29766750000000003,0.18373499999999998,13,-1,-107.77316001199866,37.86341406392827
0.09545999999999999,0.11380249999999997,0.16525499999999999,0.19616499999999998,0.2953025,0.34540750000000003,0.25716,2,-1,-107.78552473133865,37.896755455969334
0.05817,0.0864125,0.13056375,0.141,0.16873375,0.21365499999999998,0.201115,12,-1,-107.6222938190781,37.85680850806408
0.04048750000000001,0.0475275,0.07604499999999997,0.09273749999999997,0.12870749999999997,0.1811775,0.1648425,0,-1,-107.62939378901422,37.88600814326214
0.05828,0.072745,0.11036499999999999,0.12367499999999998,0.22185,0.2832575,0.2255625,13,-1,-107.58949513038439,37.86241133697753
0.05451250000000002,0.07098500000000002,0.09397499999999998,0.10137249999999998,0.13170500000000002,0.2044975,0.18081999999999998,0,-1,-107.63451953720494,37.79678072160877
0.02912999999999999,0.034629999999999994,0.05874750000000001,0.05426500000000001,0.23023749999999998,0.16712500000000002,0.09576249999999997,11,-1,-107.53785758687683,37.83005020013303
0.0,3.924999999999901E-4,0.023011249999999997,0.026393750000000007,0.039676249999999996,0.045492500000000005,0.04083125,0,-1,-107.6444598578192,37.86005497782245
0.030175000000000007,0.03454750000000001,0.055117499999999986,0.060919999999999974,0.13679249999999998,0.158875,0.11099750000000003,13,-1,-107.62511044592151,37.82709169845454
0.031659999999999994,0.03927749999999999,0.07211250000000002,0.06886750000000003,0.35528,0.24616,0.13349250000000001,11,-1,-107.55522306342102,37.77374365256951
0.04274249999999999,0.05542,0.0841025,0.0956525,0.12940875000000002,0.17054875000000003,0.15613875,0,-1,-107.61673088426735,37.92869227037436
0.04817375,0.05750999999999998,0.07931749999999999,0.09099125,0.2460775,0.2833125,0.19155875,13,-1,-107.58174751672435,37.762806728272224
0.05407250000000002,0.07332250000000001,0.11594749999999998,0.1388275,0.24495,0.27487,0.193525,13,-1,-107.68256379396647,37.89095482429019
0.0354275,0.04321,0.07862999999999998,0.08028000000000002,0.298355,0.2550425,0.16993000000000003,11,-1,-107.70275309605421,37.924195441071156
0.033708749999999996,0.04089999999999999,0.07718625000000001,0.07136999999999999,0.36881,0.2253425,0.1323925,11,-1,-107.7207980427514,37.90123533145345
0.04121625000000001,0.049562499999999995,0.0861375,0.1171025,0.13614625,0.20811375000000001,0.1432275,0,-1,-107.60781260425199,37.91901492937818
0.10584125,0.1300275,0.19468,0.24785125000000002,0.27636875,0.3620175,0.250065,0,-1,-107.8102475810517,37.87459518015419
0.029762499999999997,0.036142499999999994,0.057042499999999996,0.06801499999999999,0.1329975,0.13561,0.1015375,13,-1,-107.58548391648455,37.82783247007922
